screen_name,id,protected,followers,follow_count
robertmanduca,116657197,False,1785,1184
_rnbrewer,101036965,False,2840,1892
ProfShina,45351943,False,287,258
FSDevNet,3186885457,False,8,15
NitulY2N,2485696519,False,4,62
realreadyready,3214629934,False,13,439
CRP_journal,2837694282,False,985,1776
SumithKularatne,3158520397,False,8,46
jeffbigham,16136933,False,13961,4649
EskoKilpi,18836209,False,12290,2161
marylgray,25864331,False,12169,2087
soyoung1017,188733487,False,16,99
ludist,25059647,False,1149,1632
BoilerPaulie,76863112,False,654,1759
LillyBoxman,1585562827,False,79,107
braydenk,4044061,False,3193,1648
Ognyanova,75641981,False,5233,925
TylerZoellin,3108439789,False,55,339
crimny,2693663232,False,776,804
marlowja,14230631,True,206,264
AVPapachristos,1415772073,False,4957,3370
jsf00te,3070681964,False,33,58
stephen_dsci,3079290856,True,8,76
whitmanifesto,1054214660,False,96,445
Li571Li,3046732848,False,7,19
NUMEReview,3043881993,False,293,1669
ned_smith,228807035,False,1636,1017
DirkDavidson,61541649,False,503,2442
mikozlowski,146565921,False,602,1852
arndmPaul,447774930,False,209,805
Tommygunn611,154703737,False,69,341
SesayBeast,3024459717,False,45,104
CollabLabNU,2986831175,False,50,63
eharburg,232243874,False,506,357
cfiesler,194203770,False,17026,1423
phdkurt,348717635,False,55,159
almh42460126,2971737991,False,17,153
DeltaLabNU,1862291760,False,769,656
Noleli,15758490,False,966,678
MeghanMBiro,22634164,False,136524,94691
uigdfod,2940837931,False,6,97
jnelz,17166822,False,1893,917
SkotBotCambo,472210530,False,563,1259
comdatasci,2923870245,False,520,189
DanielMRomero,14817871,False,1229,584
NextBillion,26857202,False,105501,12339
TomNovak2113,2228216426,False,558,3956
blonde_at,2922346453,False,6,93
nathanjurgenson,66025575,False,20374,2452
razhael,14281980,False,15622,5323
lindno,22587765,False,1435,1511
fitzcn,95362174,False,267,280
MaisonneuveJohn,2907707578,False,1,35
IC2S2,2805421915,False,3511,169
DomusGoGetter,633152947,False,200,1302
halfak,85307840,False,1155,248
ktdayg,215843989,False,1565,1298
ascriptlikethis,1650837738,True,13,202
matthewheston,570377669,False,188,215
therealgrassfEd,11576532,False,231,1477
MiyaFayne,40054117,True,212,431
geosoco,90497936,False,299,1362
adhepworth,258173693,False,435,1309
youngjikim,19496657,False,395,736
slovato,6242692,False,569,364
katestarbird,19203768,False,42107,3503
amyross87,19615632,False,2767,1093
thomroulet,128947971,False,16111,8920
jsradford,34249543,False,1629,3179
SmithSharonL,29878296,False,42,201
sneha_nar,395225941,False,390,959
VolunteerSci,1131850758,False,1726,1309
emmaspiro,1384800560,False,1396,1104
priestnelson,253810056,False,0,5
ChantelleMF818,53820190,False,14,248
dore_sue,2733936399,False,0,1
ryanhuckstep,40323264,False,29,211
JANEKARENJASMIN,955632907,False,328,1796
BigDataSoc,1617603914,False,20082,2806
FooteFootemom,2695568116,False,29,173
Married2Myself9,494648454,False,38,243
thedatascilab,2341772972,False,8797,1000
Launynvegas,29957881,False,24,101
starkJared,487030287,True,150,235
overleaf,854581958,False,42160,7807
Camillewhiting,304122284,False,4743,946
UW_iSchool,748143452,False,5402,865
ZiyuLong,28779818,False,168,175
EDorranceHall,72928792,False,570,787
todrobbins,3007491,False,2599,5001
TSmieszek,576337431,False,179,594
aaronshaw,14786131,False,1282,887
PomazalPhoto,555417151,False,19,36
tsmkdk,322188248,False,149,187
jteevan,44973000,False,5192,1720
ProfFootnote,1686194185,False,178,335
dfoote58,2161523911,False,34,110
tpageMLS,182662546,False,752,1167
tallyfox,41447827,False,580,629
BayesianSNA,1418703992,False,775,464
thinkplay,41803930,False,1292,2237
KaiKuang,1897372183,False,259,234
PurdueCGSA,2361487962,False,61,67
HectorPostigo,390324992,False,795,647
ZachWilcox,20808592,False,53,176
EUSNConference,2305187539,False,553,800
SocNetAnalysts,216098950,False,3872,258
Emily__Coates,51732462,False,300,558
Aelkus,8935052,True,17819,8940
johleonard,276160064,False,23,122
witnessofjesus1,835630848,False,380,1708
suzymoat,178649929,False,3878,4313
NoPoorAmongThem,760895845,False,1731,708
smr_foundation,151934168,False,2384,1912
vouchpop,2292992406,False,10,5
naziat,38417243,True,28,154
ISCRAM_2014,2289789930,False,398,1825
tanlo184,2306630713,False,317,753
enforcer71,918151616,False,789,1845
jlinabary,16538343,True,1492,4382
_ZooKeeper_,2303264688,False,101,743
absent101absent,1597337696,False,76,658
hayden__davis,2243558114,False,243,102
botilike,479248831,False,62,561
umsi,18033550,False,11156,2161
steveotorpedo,107764266,False,10,67
BearJens,281976753,False,764,1571
mathapedia,1351300993,False,426,1788
donnarstark,2156895823,False,7,14
nskousen,26870361,False,121,314
ithinkblog,20818880,False,594,324
codybringham,1852825352,False,283,1053
visionsby,499264427,False,42,125
DrinkWithDunny,1678754798,False,2383,785
TheQuestReport,1651512710,False,172,898
sandandre1,1391212764,False,19,203
ryanharish2,979955208,False,28,165
hollykruse,28500218,False,1365,2237
