text,timestamp,favorite_count,followers,friends_count
RT @JacksChrome: Making the most of this #Monday afternoon 🙌🏼 w/ a quick clip 📺 from our 🆒🆕💯 Years of Trucking - Trucking in the 2️⃣0️⃣0️⃣…,Tue Apr 07 01:19:51 +0000 2020,0,2939,3779
@keturahtits So Blacktop was too tough on you huh,Tue Apr 07 01:19:38 +0000 2020,1,473,479
Anonymous said: have you noticed that jun says 약칸 (yakkan) a lot? it seems like a pet phrase and it's really cute https://t.co/rTszPMG1gN,Tue Apr 07 01:19:21 +0000 2020,1,1439,58
@MicahUpshaw 😂😂😂 https://t.co/q9ZZUkTlxI,Tue Apr 07 01:19:19 +0000 2020,0,251,185
"RT @PurdueChicks: ⚪️Single
⚪️Taken
🔘Straight up not having a good 
     time away from purdue",Tue Apr 07 01:19:05 +0000 2020,0,139,317
Hey everyone check out my friend over at RC Insiders                                                        Redact… https://t.co/U6uGG3S07a,Tue Apr 07 01:18:36 +0000 2020,0,37,96
i’m more of a brownie person but cake is good too 🤭 https://t.co/Zp06fBGKEU,Tue Apr 07 01:18:33 +0000 2020,5,383,126
This stupid virus needs to go away so I can go back to finishing my tattoo sleeve,Tue Apr 07 01:18:25 +0000 2020,1,468,295
THIS😂😂😂😂😂😂😂😂 https://t.co/kW8ZNxOm45,Tue Apr 07 01:18:16 +0000 2020,0,501,969
@CurranKara @SwimNoah113 gottem!!!!!,Tue Apr 07 01:17:58 +0000 2020,0,359,1288
"RT @BeneathThePaint: It’s sad to see Haarms go, not just losing the player, but the fact he looked like he was always having so much damn f…",Tue Apr 07 01:17:56 +0000 2020,0,146,129
RT @PurdueBookstore: We are deeply saddened by the passing of a Purdue great. President Beering will forever be remembered as an important…,Tue Apr 07 01:17:54 +0000 2020,0,4,138
@CharlesPPierce They’re not even trying to hide it anymore. Roberts and the boys are all in for Trump.,Tue Apr 07 01:17:43 +0000 2020,0,935,1910
RT @JayAkridge: Purdue President Emeritus Steven Beering remembered https://t.co/KRSBgBTGPY,Tue Apr 07 01:17:23 +0000 2020,0,1701,89
❤️ https://t.co/M6VNQZclak,Tue Apr 07 01:17:21 +0000 2020,2,343,263
Haha YES! 😂 https://t.co/sLYHqGeeSj,Tue Apr 07 01:16:51 +0000 2020,0,251,185
"RT @PurdueBaseball: @NCAACWS Alexander Field, the home of the #Boilermakers since the fall of 2012. #BoilerUp

https://t.co/jjZQa4UtyM http…",Tue Apr 07 01:15:52 +0000 2020,0,182,1999
